time,ax,ay,az,atotal
2.188,-0.57,-0.71,-0.22,0.94
2.198,1.24,0.66,0.57,1.52
2.208,2.03,1.12,0.74,2.43
2.218,0.76,0.56,-1.25,1.56
2.228,-0.27,0.61,0.30,0.73
2.239,-1.71,0.87,0.09,1.92
2.249,-2.95,0.04,-0.31,2.97
2.259,-1.20,-0.37,-1.09,1.66
2.269,0.78,-0.13,0.27,0.84
2.279,1.21,-0.05,0.42,1.28
2.289,0.55,-0.96,0.12,1.11
2.299,0.04,-0.26,0.13,0.30
2.309,-0.78,-1.17,-0.68,1.56
2.319,-0.68,0.02,0.09,0.68
2.329,0.53,0.41,0.75,1.01
2.339,1.97,0.92,0.04,2.18
2.349,1.06,0.96,-0.65,1.57
2.359,-0.29,0.59,0.05,0.66
2.369,-1.79,0.85,0.18,1.99
2.380,-2.28,0.26,-0.43,2.33
2.390,-0.95,-0.19,-0.84,1.28
2.400,0.23,-0.05,0.22,0.32
2.410,1.17,-0.59,0.13,1.31
2.420,0.38,-0.87,0.44,1.04
2.430,-0.35,-0.64,0.06,0.73
2.440,-0.10,-1.17,-0.60,1.32
2.450,-0.45,-0.34,0.01,0.56
2.460,0.85,0.67,1.25,1.65
2.470,1.52,1.03,-0.38,1.88
2.480,0.55,0.91,-1.01,1.46
2.491,-0.65,1.43,0.58,1.68
2.500,-2.14,1.14,-0.16,2.43
2.511,-1.52,-0.05,-0.72,1.69
2.521,-0.35,-0.34,-0.45,0.66
2.531,0.51,-0.42,0.41,0.78
2.541,0.50,-1.04,0.27,1.19
2.551,0.17,-0.75,0.16,0.78
2.561,-0.33,-0.58,-0.28,0.72
2.571,-0.43,-0.65,-0.38,0.86
2.581,0.10,-0.17,0.20,0.28
2.591,1.30,0.79,1.01,1.83
2.601,1.35,1.05,-0.37,1.75
2.611,0.20,0.81,-0.81,1.16
2.622,-0.59,1.29,0.44,1.48
2.632,-2.08,1.22,-0.02,2.41
2.642,-1.81,-0.43,-0.92,2.07
2.652,-0.37,-0.33,-0.50,0.71
2.662,0.65,-0.58,0.35,0.94
2.672,0.75,-1.08,0.63,1.46
2.682,0.12,-0.74,0.14,0.76
2.692,-0.33,-0.62,-0.54,0.88
2.702,-0.14,0.01,-0.23,0.27
2.712,0.19,0.25,0.29,0.43
2.723,0.98,0.92,0.75,1.54
2.732,1.32,1.28,-0.39,1.88
2.743,0.07,0.47,-0.57,0.75
2.753,-1.21,0.62,0.20,1.37
2.763,-2.27,-0.34,-0.28,2.31
2.773,-1.32,0.17,-0.40,1.39
2.783,0.12,-0.16,0.26,0.33
2.793,0.72,-0.49,-0.66,1.10
2.803,0.64,-0.36,0.64,0.97
2.813,-0.03,-0.44,0.03,0.44
2.823,-0.92,-0.86,-0.34,1.31
2.833,-0.69,-0.74,-0.35,1.07
2.843,0.59,0.14,0.21,0.64
2.853,1.94,1.01,1.37,2.58
2.864,1.48,0.94,-0.87,1.96
2.874,0.05,0.73,-0.55,0.92
2.884,-0.90,0.86,0.50,1.34
2.894,-2.83,-0.09,-0.40,2.86
2.904,-2.11,-0.61,-0.69,2.30
2.914,0.32,0.06,-0.04,0.33
2.924,0.81,-0.30,0.23,0.89
2.934,0.68,-0.78,0.06,1.03
2.944,0.33,-0.11,0.33,0.48
2.954,-0.36,-0.71,-0.45,0.91
2.964,-0.80,-0.51,-0.22,0.98
2.975,0.68,0.68,0.85,1.29
2.985,1.97,1.08,0.21,2.26
2.995,0.78,0.78,-0.87,1.40
3.005,0.09,0.89,0.14,0.91
3.015,-1.29,0.55,0.16,1.41
3.025,-2.40,0.21,-0.02,2.41
3.035,-1.73,-0.68,-1.38,2.31
3.045,-0.00,-0.39,-0.02,0.39
3.055,1.08,-0.01,0.66,1.26
3.065,0.48,-1.26,-0.01,1.34
3.075,0.15,-0.00,0.42,0.45
3.085,0.07,-0.65,-0.64,0.92
3.096,-0.37,-0.26,-0.26,0.52
3.106,0.40,0.86,1.25,1.57
3.116,1.47,1.04,-0.24,1.82
3.126,0.70,1.01,-0.83,1.48
3.136,-0.15,0.95,0.26,0.99
3.146,-1.50,0.10,-0.08,1.51
3.156,-2.17,0.04,-0.04,2.17
3.166,-1.11,-0.59,-0.97,1.59
3.176,0.03,-0.79,-0.14,0.80
3.186,0.56,-0.21,0.66,0.89
3.196,0.71,-0.81,-0.08,1.08
3.207,0.21,0.00,0.20,0.29
3.217,-0.33,-0.12,-0.36,0.50
3.227,-0.28,-0.14,-0.33,0.46
3.237,0.77,1.09,1.07,1.72
3.247,1.43,0.85,-0.22,1.68
3.257,0.66,0.84,-0.68,1.27
3.267,-0.04,0.63,0.48,0.80
3.277,-1.34,-0.35,-0.37,1.44
3.287,-2.48,-0.27,0.06,2.50
