time,ax,ay,az,atotal
2.249,-0.35,-0.30,0.14,0.48
2.259,-0.26,0.13,0.28,0.41
2.269,-0.30,0.59,-0.09,0.67
2.279,0.05,0.07,-0.03,0.09
2.289,-0.02,-0.30,-0.32,0.43
2.300,0.12,-0.33,-0.03,0.35
2.310,0.23,-0.12,-0.16,0.31
2.320,0.05,-0.21,-0.11,0.24
2.330,0.32,-0.22,0.23,0.45
2.340,0.53,0.27,-0.58,0.83
2.350,0.38,0.25,0.48,0.66
2.360,0.31,0.22,-0.36,0.52
2.370,-0.42,-0.02,0.03,0.42
2.380,-0.46,-0.07,0.10,0.48
2.390,-0.25,0.01,0.35,0.43
2.400,-0.18,0.39,-0.24,0.49
2.411,0.12,0.04,0.01,0.12
2.421,0.23,-0.40,-0.21,0.51
2.431,-0.06,-0.36,-0.19,0.42
2.441,0.02,-0.12,-0.12,0.17
2.451,0.09,-0.01,0.03,0.10
2.461,0.26,-0.09,-0.16,0.32
2.471,0.50,0.21,-0.29,0.62
2.481,0.52,0.21,0.42,0.70
2.491,0.31,0.24,-0.46,0.61
2.501,-0.31,-0.08,0.08,0.33
2.511,-0.40,-0.13,0.04,0.42
2.521,-0.35,0.01,0.35,0.50
2.531,-0.19,0.42,-0.14,0.48
2.542,-0.08,0.31,-0.15,0.35
2.552,0.15,-0.33,-0.03,0.37
2.562,0.09,-0.47,-0.27,0.55
2.572,0.17,-0.29,-0.19,0.38
2.582,0.14,0.02,0.01,0.14
2.592,0.31,0.04,-0.13,0.34
2.602,0.35,0.02,0.11,0.37
2.612,0.47,0.25,-0.20,0.57
2.622,0.19,0.14,-0.04,0.24
2.632,-0.17,0.04,-0.15,0.23
2.642,-0.32,-0.25,0.27,0.49
2.652,-0.31,-0.04,0.12,0.34
2.663,-0.31,0.41,-0.07,0.52
2.673,0.08,0.24,0.00,0.25
2.683,0.14,-0.28,-0.26,0.41
2.693,0.14,-0.53,-0.05,0.55
2.703,0.14,-0.36,-0.13,0.40
2.713,-0.01,-0.08,-0.10,0.13
