time,ax,ay,az,atotal
1.956,-0.30,0.32,-0.15,0.47
1.967,0.00,0.11,-0.03,0.11
1.977,0.10,-0.28,-0.08,0.30
1.987,0.02,-0.45,-0.20,0.49
1.997,0.06,-0.32,-0.10,0.34
2.007,0.13,0.01,-0.01,0.13
2.017,0.34,0.36,0.05,0.50
2.027,0.46,0.31,0.02,0.55
2.037,0.17,-0.03,-0.24,0.29
2.047,-0.09,-0.10,-0.13,0.18
2.057,-0.29,-0.10,0.10,0.32
2.068,-0.39,0.20,0.21,0.49
2.078,-0.33,0.29,0.15,0.46
2.088,-0.26,0.26,-0.16,0.40
2.098,-0.10,-0.04,-0.12,0.16
2.108,0.04,-0.18,-0.15,0.24
2.118,0.18,-0.42,0.07,0.46
2.128,0.02,-0.37,-0.28,0.47
2.138,0.14,-0.03,-0.10,0.18
2.148,0.47,0.33,0.26,0.63
2.158,0.33,0.40,-0.08,0.52
2.168,0.09,0.00,-0.21,0.23
2.178,-0.05,-0.17,-0.03,0.18
2.189,-0.41,-0.08,0.08,0.43
2.199,-0.32,0.19,0.22,0.43
2.209,-0.34,0.35,0.17,0.52
2.219,-0.16,0.18,-0.17,0.30
2.229,-0.02,-0.11,-0.15,0.18
2.239,0.04,-0.30,0.02,0.30
2.249,0.01,-0.22,-0.21,0.31
2.259,0.10,-0.25,-0.06,0.28
2.269,0.12,-0.16,-0.01,0.20
2.279,0.31,0.21,-0.04,0.38
2.289,0.44,0.40,0.09,0.60
2.299,0.24,0.21,-0.21,0.38
2.310,-0.10,-0.23,0.03,0.25
2.320,-0.34,-0.27,-0.08,0.44
2.330,-0.44,0.04,0.32,0.55
2.340,-0.35,0.57,0.07,0.67
2.350,-0.17,0.30,-0.04,0.35
2.360,-0.08,-0.12,-0.24,0.28
2.370,0.00,-0.33,-0.10,0.34
2.380,0.11,-0.30,-0.07,0.33
2.390,0.04,-0.17,-0.19,0.26
2.400,0.28,-0.23,0.05,0.36
2.410,0.25,0.16,-0.02,0.30
2.421,0.40,0.26,0.08,0.49
