time,ax,ay,az,atotal
2.380,-0.12,0.14,-0.41,0.45
2.390,0.02,-0.03,0.14,0.14
2.400,-0.10,-0.08,0.19,0.22
2.410,-0.16,-0.10,0.37,0.41
2.420,0.08,-0.07,-0.16,0.19
2.430,0.11,-0.17,-0.18,0.27
2.440,-0.10,-0.02,0.02,0.11
2.450,-0.20,0.15,-0.11,0.27
2.460,-0.06,0.15,-0.18,0.24
2.470,-0.03,0.18,-0.06,0.19
2.480,0.06,0.14,-0.01,0.15
2.491,0.07,-0.03,0.38,0.39
2.501,0.08,0.02,-0.27,0.28
2.511,0.02,0.00,-0.23,0.23
2.521,-0.11,0.08,0.14,0.19
2.531,-0.34,0.27,0.17,0.46
2.541,-0.26,0.32,0.32,0.52
2.551,0.04,0.10,-0.10,0.15
2.561,0.07,0.03,-0.41,0.42
2.571,0.14,-0.10,0.17,0.24
2.581,0.32,-0.03,-0.14,0.35
2.592,0.38,-0.05,-0.17,0.42
2.601,0.41,0.08,-0.04,0.42
2.612,0.59,0.27,0.03,0.65
2.622,0.48,0.46,0.25,0.71
2.632,0.09,0.46,-0.14,0.49
2.642,-0.03,0.27,-0.35,0.44
2.652,0.08,-0.15,0.22,0.28
2.662,0.06,-0.39,0.46,0.61
2.672,-0.01,-0.33,-0.01,0.33
2.682,0.14,-0.45,-0.27,0.54
2.692,-0.08,-0.47,0.07,0.48
2.702,-0.26,-0.28,-0.17,0.42
2.712,-0.01,-0.40,-0.12,0.42
2.722,-0.04,-0.47,-0.05,0.47
2.732,-0.10,-0.42,-0.11,0.45
2.743,-0.17,-0.19,0.12,0.28
2.753,0.04,-0.10,0.37,0.39
2.763,-0.16,0.01,-0.31,0.34
2.773,-0.35,0.13,-0.13,0.40
2.783,-0.28,0.20,0.10,0.35
2.793,-0.28,-0.09,0.65,0.71
2.803,-0.16,-0.24,-0.34,0.45
2.813,0.00,-0.53,-0.13,0.54
2.823,-0.05,-0.57,0.07,0.58
2.833,-0.01,-0.60,-0.12,0.61
2.844,0.17,-0.61,-0.17,0.65
2.853,0.34,-0.67,0.02,0.75
2.864,0.34,-0.62,-0.06,0.71
2.874,0.44,-0.41,0.17,0.62
2.884,-0.02,-0.30,0.23,0.38
2.894,-0.23,-0.33,-0.51,0.65
2.904,-0.24,-0.45,0.07,0.52
2.914,-0.13,-0.41,0.26,0.50
2.924,-0.09,-0.41,0.51,0.66
2.934,-0.13,-0.31,-0.47,0.58
2.944,0.10,-0.22,-0.18,0.31
2.954,0.20,-0.26,0.29,0.44
2.964,0.14,-0.30,-0.49,0.59
2.975,0.03,-0.16,-0.09,0.19
2.985,0.03,0.24,0.05,0.25
2.995,0.05,0.22,-0.06,0.23
3.005,0.24,0.32,0.11,0.42
3.015,0.27,0.46,0.05,0.53
3.025,0.18,0.31,-0.24,0.43
3.035,0.12,0.11,0.01,0.16
3.045,-0.09,-0.18,0.41,0.46
